WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,1.94E-71,1.04E-46,43617.0758,43.79629233,27.91195637,0.06,0.002608518,-11101.52098,3.55E-17,4.07E-15,0.015638367,0.030018214,0.541873514,3.39541979,0.000593236,-1.031628452,0.397896662,3.000058792,-3.857576632,-3.218331122,-9.010512351,-8.331187002,-7.780771105
time,0.300849175,3.05E-01,0.43255055,0.296425457,0.309576416,0.322820158,0.32232317,0.30636456,0.307753735,0.315065784,0.323820825,0.361871467,0.352592058,0.632351575,0.555958414,0.297593689,0.291963434,0.302550893,0.950733376,0.944577456,0.669041209,0.807017655,1.02691884
worst,7.50E-70,2.01E-45,76324.7103,91.35054541,28.75190086,2,0.01305066,-6975.507357,1.78E-15,7.55E-15,0.247707624,0.427402167,1.305184963,10.76318104,0.001536429,-1.031628438,0.398002739,3.001082013,-3.82791988,-2.837595783,-2.629086458,-1.835249696,-1.67223309
best,5.12E-83,6.18E-54,7442.687984,0.104613728,27.14625901,0,6.48E-06,-12568.71619,0,4.44E-16,0,0.003047743,0.068321706,0.998003838,0.000310978,-1.031628453,0.397887358,3.000000009,-3.86277883,-3.321423774,-10.15247246,-10.4017724,-10.5341196
std,1.06E-70,3.56E-46,15855.99855,31.35981995,0.40557369,0.310483494,0.002878281,1655.561752,2.49E-16,2.41E-15,0.050611281,0.059332848,0.272297924,3.228185266,0.000261771,2.36E-09,2.12E-05,1.56E-04,0.006872024,0.123633846,2.26280985,2.813910637,3.325287523
