WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,7.12E-111,8.32E-63,33535.015,68.93127271,27.65475346,0.04,0.002454061,-10842.61208,0,3.57E-15,0,0.016992849,0.396451601,3.019375566,0.000591305,-1.031628452,0.397893762,10.81507026,-3.858247939,-3.228874587,-8.673765084,-8.519471081,-7.995858569
time,0.402062421,0.457697101,2.489042792,0.381795592,0.48073401,0.463402758,0.506143293,0.429508605,0.449886556,0.585653787,0.592231555,1.055098667,0.866361279,0.678182039,0.621279678,0.481951456,0.432978954,0.683017015,0.957654662,0.97606751,0.77101759,0.871004148,1.023764982
worst,3.13E-109,2.14E-61,65939.6282,92.39529534,28.75960097,1,0.009171668,-7417.003347,0,7.55E-15,0,0.064679431,0.814886368,10.76318068,0.002251949,-1.031628447,0.397932629,34.9311743,-3.840114101,-3.026319505,-0.880980948,-1.832238002,-0.948883423
best,7.14E-122,1.44E-68,473.9304343,17.7715919,26.81358796,0,6.25E-05,-12569.48659,0,4.44E-16,0,0.003526056,0.08666234,0.998003838,0.0003075,-1.031628453,0.397887365,3.000000072,-3.862782069,-3.321780392,-10.1525966,-10.40218902,-10.53574378
std,4.38E-110,3.41E-62,14285.81296,20.92229706,0.470784183,0.195959179,0.002475913,1751.987184,0,2.72E-15,0,0.010269458,0.178859557,3.288402339,0.00047632,1.66E-09,8.47E-06,12.56356924,0.005181272,0.098738938,2.625624258,2.835113209,3.309804121
