WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,9.15E-75,9.30E-47,42298.01195,59.63136076,28.18238047,0,0.003127746,-10782.04415,0,4.35E-15,0.010269918,0.025591967,0.551502806,3.780787083,0.00062072,-1.031628451,0.397895191,8.565151902,-3.822152186,-3.216748949,-8.592080262,-7.763248452,-7.728815085
time,0.210816302,0.214186869,0.298540359,0.210239573,0.216299181,0.226694098,0.227052693,0.217297187,0.215343857,0.221408052,0.221923151,0.248276057,0.240440049,0.429489875,0.378706055,0.209162369,0.20724452,0.215844131,0.655593739,0.655981283,0.461944394,0.561401305,0.711736131
worst,2.08E-73,2.85E-45,71947.47686,89.71050179,28.76496235,0,0.015250415,-7943.732761,0,7.55E-15,0.238450649,0.089744724,1.171569313,10.76318257,0.002251949,-1.031628358,0.397966645,34.26113467,-3.089632257,-2.840295284,-2.627689705,-1.836519782,-1.675701054
best,3.64E-86,4.60E-54,10214.94845,0.376542186,27.08614729,0,2.21E-05,-12568.59993,0,4.44E-16,0,0.005418956,0.155181687,0.998003838,0.000309709,-1.031628453,0.397887358,3.000000009,-3.862781319,-3.320962386,-10.15205052,-10.40213525,-10.53475912
std,3.87E-74,4.64E-46,12165.53165,26.02935469,0.441134853,0,0.003475125,1725.267664,0,2.68E-15,0.042355589,0.017153304,0.267910588,3.837365624,0.000412301,1.34E-08,1.38E-05,11.14971559,0.152582764,0.113414871,2.47693602,2.946877204,3.319808664
