WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
25,237.669345,3.041553335,120491.0248,71.79975294,77142.76678,198.8,0.346377271,-9067.13943,157.7401265,3.844010841,2.631657193,13645.14248,35564.37549,5.883574389,0.003100661,-1.014030135,0.405045879,5.053343721,-3.784080846,-3.041595816,-6.050774435,-5.457806115,-5.413518881
26,201.2214917,2.748185017,120288.7905,71.41807546,56236.03629,170.96,0.326186933,-9075.513541,151.7489229,3.630370326,2.415536799,7582.116464,24390.35741,5.878783956,0.002856365,-1.01439641,0.404408149,4.739357296,-3.784429348,-3.047798054,-6.127909167,-5.565431936,-5.433750332
27,175.9296939,2.248091206,119911.7593,70.94240631,46046.5224,153.34,0.292497752,-9090.463946,146.0753458,3.444997829,2.16917148,6662.084212,14658.31493,5.876609349,0.002702935,-1.014502267,0.403689804,4.710605391,-3.784597514,-3.055237609,-6.187204384,-5.584034846,-5.460285319
28,148.0684334,1.951801042,119760.4149,70.61528224,33921.49042,131.72,0.270145457,-9097.672021,140.89393,3.105959788,1.99877425,5464.874719,9750.568988,5.876022831,0.002450253,-1.014793219,0.402929721,4.70678848,-3.784776532,-3.061477883,-6.313027785,-5.629473015,-5.585194448
29,130.0543201,1.824733416,119550.4224,70.43476023,27151.73063,117.22,0.254301064,-9107.869114,136.7967094,2.856253317,1.815786576,4742.710872,7773.588959,5.843689079,0.002411576,-1.014949524,0.40219866,4.705965157,-3.785027479,-3.068678422,-6.36868442,-5.650944214,-5.647331136
30,105.5674735,1.661310183,119389.9426,70.19440851,19982.48355,97.5,0.239857367,-9123.7145,130.702046,2.658621683,1.703812901,4344.854276,6461.238,5.351325804,0.002377666,-1.015141316,0.401900626,4.70509447,-3.785103188,-3.076140365,-6.406630696,-5.686362932,-5.683759951
31,91.88090897,1.454281554,119270.4995,69.90926543,13389.09734,87.14,0.226611854,-9148.069915,127.7883561,2.418846036,1.557640254,2524.617196,4618.698971,5.234413708,0.002340508,-1.015177257,0.401313148,4.669849566,-3.786261722,-3.082754294,-6.474290956,-5.775793746,-5.718916215
32,79.67184929,1.304059147,119173.278,69.75692869,8842.537024,69.82,0.202295275,-9156.366971,120.0494649,2.244398231,1.445385078,1964.708943,3281.76924,5.22285134,0.002307148,-1.015184844,0.401182612,4.634353324,-3.787077191,-3.086529455,-6.508525533,-5.81404224,-5.78012198
33,69.89327315,1.218717823,118935.5571,69.46527981,7242.73023,60.18,0.190168788,-9202.494629,117.3081447,2.08182645,1.347707821,1564.71861,2398.929675,5.221674178,0.002242638,-1.015188983,0.400761303,4.633266027,-3.787736735,-3.089928603,-6.545459759,-5.85118735,-5.839427172
34,60.07804037,1.100481471,118657.0934,69.29544014,5452.988577,51.74,0.179904503,-9224.691974,113.503453,1.897605052,1.29460054,1313.309088,1087.185222,5.1831354,0.002203247,-1.015194198,0.400618366,4.633116282,-3.78878073,-3.098120333,-6.588594858,-5.900422615,-5.880801158
35,51.48448534,0.96247463,118345.1858,69.08839693,4731.983695,42.42,0.173355453,-9291.305009,109.0629118,1.738171436,1.238728373,1149.478996,933.0455686,5.182809797,0.002085849,-1.024935496,0.400393619,4.632645563,-3.789517154,-3.10428719,-6.649390015,-5.949454499,-5.899205506
36,42.72727042,0.852609928,117899.3061,69.02488376,3845.099819,37.9,0.167250318,-9307.04719,105.1013583,1.599560213,1.198743902,127.4755905,898.9896428,5.181185809,0.001946823,-1.028033786,0.400301109,4.631069974,-3.790189386,-3.106223287,-6.723147022,-5.970257499,-5.931643774
37,36.27019654,0.754381253,117751.6062,68.88335239,3327.382761,32.02,0.161278127,-9320.722523,101.947372,1.470887475,1.16416831,52.88506287,741.2611529,5.181165151,0.001913458,-1.029145982,0.400132651,4.6294706,-3.790422277,-3.111118887,-6.788187456,-6.018455074,-5.955569115
38,31.9259361,0.685873609,117210.0186,68.77308127,2669.893486,28.8,0.150901807,-9376.249377,99.32561233,1.385925202,1.129368292,38.60165009,592.3228976,5.181143591,0.001887773,-1.031550011,0.400099339,4.278291565,-3.799107237,-3.114644824,-6.830845819,-6.05450667,-5.969463627
39,28.23903032,0.618608919,117022.7907,68.76789811,2178.909046,25.7,0.136596536,-9393.63332,96.43525464,1.311475183,1.092467151,33.97079438,384.4788606,5.16211623,0.00181952,-1.031585682,0.400045528,4.097058486,-3.801283731,-3.117903662,-6.851007513,-6.102003132,-6.078646878
40,24.28119048,0.56313418,116909.4127,68.75016611,1992.50259,24.28,0.12933487,-9402.927168,95.56959762,1.209993682,1.074576346,26.34919364,61.79177845,5.162115826,0.001771859,-1.031588036,0.399852062,4.096747991,-3.804052951,-3.122545482,-6.873294682,-6.112762483,-6.110672639
41,21.78259677,0.509350033,116760.5685,68.61069104,1747.909362,21.14,0.123695714,-9407.117545,88.3866978,1.055868055,1.052625628,25.29380563,56.18764601,5.161483037,0.001749762,-1.031593321,0.399612063,4.089370089,-3.805638887,-3.124498873,-6.904591144,-6.139414123,-6.121715334
42,19.04419915,0.4675026,116459.2012,68.41407116,1451.962941,18.92,0.115960588,-9415.692192,85.79889669,0.94452968,1.034292871,22.85852449,36.7702944,5.161481897,0.001730011,-1.031596093,0.399512828,4.089239208,-3.806404435,-3.126272276,-6.913356266,-6.147671735,-6.129278799
43,16.11666697,0.408483711,116248.0411,68.26397175,1222.493746,17.02,0.106633157,-9418.400307,83.60570501,0.862770774,1.016327712,22.17604291,15.94763604,5.161481744,0.001712943,-1.031596776,0.399412478,4.088329503,-3.8065623,-3.129457569,-6.935671861,-6.160191624,-6.148143247
44,13.5594886,0.368957616,116109.9178,67.66307972,1052.342747,15.54,0.099805003,-9424.512165,81.98826496,0.799238819,0.992662524,21.85578483,10.54682912,5.161470887,0.00170623,-1.031598137,0.399364395,4.088272005,-3.808598587,-3.132428508,-6.970700863,-6.175896477,-6.15869836
45,12.36244918,0.347029376,115741.4023,67.03999408,632.8076208,14.58,0.097960839,-9427.690869,78.95546791,0.728755484,0.972154009,18.61395938,9.131445901,5.097993505,0.001682927,-1.031603517,0.399321394,4.087841876,-3.809406902,-3.13463917,-6.988537589,-6.195241477,-6.181774694
46,11.05457637,0.313963852,115632.4321,66.60366035,538.9583546,12.92,0.095769309,-9431.900898,76.50326049,0.641347796,0.951165007,17.3564856,8.63710611,4.896631121,0.00161033,-1.031604027,0.399215976,3.903302436,-3.810178899,-3.136189885,-7.018405332,-6.248577364,-6.189732161
47,9.849871727,0.286869112,115537.442,66.36408319,457.4893632,12.2,0.093927549,-9435.730617,74.8834163,0.571126702,0.926439772,16.98043055,8.054085472,4.896394951,0.001511296,-1.031605483,0.399198591,3.903119458,-3.818002885,-3.13783423,-7.025689744,-6.331123141,-6.196793106
48,8.77856318,0.25507529,115180.2848,66.21250906,401.5108095,11.86,0.091761104,-9440.133525,72.34899765,0.512561769,0.902296961,12.78305816,7.4722148,4.873694233,0.001491196,-1.031607402,0.399117117,3.700796736,-3.81961151,-3.141405447,-7.043350328,-6.34361082,-6.206433583
49,7.281791405,0.227886216,114937.6629,65.98991308,354.6836755,11.46,0.087860006,-9446.043351,68.59282557,0.456881614,0.859402029,11.78760512,6.949740941,4.87347023,0.001474374,-1.031609641,0.399070212,3.576047717,-3.820848331,-3.143771559,-7.056744243,-6.359863218,-6.23662505
50,5.647402538,0.211513158,114820.4486,65.79590667,311.414041,9.86,0.085135303,-9453.218095,67.51960577,0.428587817,0.828229316,7.9340496,4.963454259,4.873211053,0.001423213,-1.031610124,0.399018218,3.562568545,-3.82107803,-3.144897587,-7.084957972,-6.36553909,-6.249594613
51,5.030454012,0.198381629,114564.9295,65.71859425,279.4943154,9.08,0.083038967,-9459.564246,65.53207997,0.389671752,0.807240875,7.345134033,4.397975446,4.873206677,0.0014061,-1.031610508,0.398933594,3.5525996,-3.821378822,-3.146285132,-7.094865884,-6.377664961,-6.25562941
52,4.251380195,0.181077724,114167.1447,65.51169139,252.5749122,8.38,0.081177431,-9472.84956,63.80362461,0.361516969,0.777270427,6.886214889,4.164733693,4.845444557,0.001396803,-1.031610905,0.398904754,3.55076259,-3.821640441,-3.147639057,-7.105207945,-6.383275562,-6.262314427
53,3.722865759,0.160420378,113660.7881,65.35406134,233.6685402,7.5,0.080035081,-9475.702114,63.17046467,0.318625801,0.755642109,6.184169394,3.777820942,4.845433267,0.001352978,-1.031611012,0.398848183,3.550748359,-3.822032551,-3.150371676,-7.127299324,-6.391791242,-6.268323615
54,2.938095002,0.150836902,113550.7519,65.21095427,220.9191091,6.98,0.080035081,-9479.439713,61.70739929,0.30262816,0.725417934,5.753435722,3.553764015,4.805225773,0.001343502,-1.031612306,0.398769528,3.550742254,-3.822150843,-3.151501002,-7.133655314,-6.406416618,-6.283120198
55,2.56206045,0.139152037,113383.5226,64.9168872,207.1228975,6.56,0.07927529,-9492.606982,60.27815644,0.27992567,0.69920929,4.436143194,3.334030162,4.805225065,0.001318447,-1.031612491,0.398732801,3.55036658,-3.822316037,-3.151994402,-7.153672338,-6.461210118,-6.294886596
56,1.932797496,0.131239453,113262.7419,64.87866234,168.5832093,5.98,0.078108885,-9499.020434,58.94143216,0.256693601,0.680437379,3.861567138,3.153328459,4.791083928,0.001308046,-1.031612802,0.398722174,3.550307473,-3.822544834,-3.153119369,-7.19357421,-6.522427618,-6.313066593
57,1.616702408,0.12164744,113129.2742,64.87163639,140.9944514,5.66,0.076267953,-9504.376283,58.20218948,0.236409975,0.661717776,3.017606107,2.948414143,4.74706731,0.0013033,-1.031613598,0.398699623,3.549661877,-3.822695424,-3.153762342,-7.214514709,-6.561862289,-6.318891095
58,1.396522281,0.114763678,112939.4657,64.82653151,122.4789375,5.5,0.073677702,-9506.149477,55.77241295,0.225037425,0.625337322,2.509437974,2.830704234,4.738927406,0.001286591,-1.031614355,0.398670769,3.549126864,-3.823565875,-3.154697448,-7.222306239,-6.575977992,-6.331401203
59,1.302206086,0.104386967,112762.2833,64.30982262,111.5565167,5.26,0.07234468,-9509.640597,52.20168342,0.213422257,0.602687955,2.349139775,2.72297093,4.738927382,0.001279425,-1.031614565,0.398635088,3.549073563,-3.824076843,-3.156418844,-7.233396519,-6.585021352,-6.347831021
60,1.114249216,0.098502396,112538.6722,64.22905159,100.5966955,5.02,0.069448773,-9515.867609,51.29968425,0.201013562,0.578083845,2.263109323,2.44866707,4.646020621,0.001272884,-1.031614762,0.398629284,3.549048135,-3.824183397,-3.162514122,-7.244582424,-6.593451517,-6.355702776
61,0.905911257,0.091806273,112371.5986,64.11720706,91.36260024,4.72,0.068160944,-9519.470882,48.59451832,0.187485229,0.551538741,2.201063661,2.189270888,4.618181018,0.00125922,-1.031615541,0.398613669,3.54890052,-3.826458267,-3.164256963,-7.247663781,-6.602811575,-6.442779918
62,0.771002978,0.08230243,112184.0249,63.72680942,83.92491699,4.54,0.066640689,-9541.212221,48.14308984,0.176833065,0.526174295,2.047751753,2.050581244,4.574664801,0.001251714,-1.031615803,0.398529244,3.548811433,-3.838870669,-3.164724252,-7.257279252,-6.61058672,-6.448587837
63,0.639211192,0.073675594,112094.1217,63.70717148,79.95084937,4.34,0.063100501,-9549.280358,46.75202218,0.165286731,0.488235035,1.92151663,1.990372593,4.56657244,0.001229343,-1.031616128,0.398522687,3.548807142,-3.839391992,-3.165857557,-7.281139193,-6.618252433,-6.45707889
64,0.550514434,0.063687517,111881.3802,63.6518144,74.83604739,4.12,0.062840309,-9557.004273,45.00192565,0.156312136,0.463070649,1.62753518,1.928248532,4.566560646,0.001210774,-1.03161661,0.398502928,3.548588547,-3.840457695,-3.166797652,-7.303664993,-6.675790309,-6.49931106
65,0.45211461,0.058932025,111645.8085,63.58366846,69.91325726,3.9,0.061936417,-9570.247021,44.34089383,0.146487264,0.446322585,1.523864214,1.827741288,4.566560614,0.0011968,-1.031616958,0.398495831,3.548553619,-3.842429068,-3.167628127,-7.318963425,-6.697741384,-6.52562655
66,0.4192176,0.054511075,111449.7626,63.55100075,58.94359673,3.86,0.061913243,-9603.223152,43.66901555,0.136093393,0.429582122,1.437386896,1.784310196,4.562784871,0.001182493,-1.031617421,0.398481825,3.548551017,-3.842992432,-3.168359931,-7.323772267,-6.743549651,-6.533404506
67,0.353900052,0.050898116,111068.5207,63.54709237,54.477054,3.8,0.060650815,-9624.952662,43.07311114,0.125231564,0.41839214,1.357874041,1.747814372,4.457664803,0.001175857,-1.031617473,0.398467488,3.548261571,-3.844137763,-3.169148066,-7.333018303,-6.752123549,-6.536895305
68,0.312379253,0.048231172,110936.9336,63.48081553,50.9676731,3.6,0.059051975,-9642.458798,42.49015905,0.114022375,0.407330796,1.300926728,1.691600768,4.450960907,0.001165705,-1.031617579,0.398450897,3.546004265,-3.845163956,-3.16975079,-7.33678097,-6.764408593,-6.554738161
69,0.279706261,0.045447861,110751.2718,63.45440918,49.2787724,3.24,0.058530295,-9646.491548,41.75158948,0.101510261,0.391534342,1.16046064,1.532185697,4.450866536,0.0011612,-1.03161812,0.398391369,3.545915831,-3.845524409,-3.170067955,-7.343668149,-6.790158528,-6.556791166
70,0.247733587,0.04306057,110691.9727,63.27314836,45.38827551,3.08,0.055941358,-9649.317548,38.55228701,0.093908715,0.379917434,1.061280769,1.427420061,4.398457353,0.001152987,-1.031619291,0.398329326,3.545657774,-3.845735491,-3.17065061,-7.34711218,-6.797909946,-6.569794773
71,0.231707437,0.039777969,110601.5892,62.85973674,41.4315605,2.98,0.055379153,-9651.805376,37.66628153,0.084345092,0.359835927,0.998167487,1.397901313,4.356766621,0.001148186,-1.031619615,0.398321555,3.54523167,-3.84588037,-3.171254582,-7.351381725,-6.804569327,-6.575658187
72,0.205004664,0.036283567,110323.9969,62.85894581,39.57923348,2.9,0.052886636,-9654.080336,37.26234374,0.077732674,0.350951466,0.970141432,1.321491169,4.351302092,0.001145867,-1.031621538,0.39828728,3.545223025,-3.846075216,-3.172642039,-7.35453912,-6.808672887,-6.591510562
73,0.170694821,0.031857117,110113.4879,62.81018436,37.94139144,2.86,0.052808137,-9662.457222,36.88489252,0.072081694,0.331758455,0.948116075,1.264793153,4.351296926,0.001143177,-1.031621637,0.398271691,3.545208959,-3.846122878,-3.173382244,-7.359817286,-6.846828616,-6.602890693
74,0.147134467,0.029849044,109733.7939,62.77354922,35.69624527,2.82,0.052685196,-9670.676029,36.6720098,0.065808046,0.318385119,0.92630138,1.186665221,4.351174912,0.001134001,-1.031622112,0.398253022,3.545206727,-3.846220254,-3.174162733,-7.366443772,-6.856635704,-6.605449887
75,0.129097299,0.027254476,109214.6712,62.74322467,35.24816276,2.74,0.051152441,-9674.274971,35.46991426,0.061871486,0.305220943,0.914835504,1.146068509,4.351169587,0.001126707,-1.031622181,0.398215144,3.545066918,-3.846342042,-3.174682483,-7.37510118,-6.865861062,-6.608849627
76,0.111007872,0.025565729,108837.713,62.60280299,34.72542991,2.68,0.050381835,-9675.859536,34.29670054,0.056709395,0.291836388,0.906820773,1.133385954,4.351156094,0.001120257,-1.031622702,0.398212808,3.545066853,-3.846510551,-3.175210532,-7.378142599,-6.877097814,-6.612503345
77,0.102193533,0.024474385,108638.2258,62.55040827,33.51866797,2.58,0.048986957,-9678.68623,33.78963739,0.053901528,0.274353099,0.875897514,1.095718674,4.331528489,0.0011124,-1.031622818,0.398207126,3.54506681,-3.846567145,-3.175802817,-7.387546299,-6.910998708,-6.615753926
78,0.08609723,0.022600962,108449.23,62.54548814,32.6396351,2.56,0.0473576,-9687.139556,32.71318356,0.04889875,0.251543271,0.843313358,1.069279527,4.331528425,0.00110018,-1.031624171,0.398204934,3.342040834,-3.846692612,-3.176235591,-7.389272025,-6.923177803,-6.620034818
79,0.072731408,0.02028877,108358.4348,62.5255859,32.16341693,2.52,0.046365363,-9693.227798,31.83261599,0.047139939,0.235571029,0.836164216,1.052162029,4.331455255,0.001081,-1.031624256,0.398201806,3.342040703,-3.846997172,-3.176951277,-7.391982386,-6.94230229,-6.624757814
80,0.066941337,0.01823087,108248.8276,62.44456286,31.93239703,2.52,0.0459376,-9697.115982,31.67289254,0.04290145,0.229872582,0.8175338,1.016671415,4.331453846,0.001069312,-1.031624301,0.398195731,3.21190941,-3.847109071,-3.177349914,-7.409370726,-6.947657441,-6.626656391
81,0.062439735,0.016634443,108136.357,62.37897827,31.33214001,2.48,0.045897916,-9698.783642,30.21071452,0.040566736,0.222152018,0.760009303,1.00770613,4.331429458,0.001056765,-1.031625962,0.398186006,3.01774751,-3.847250131,-3.178061847,-7.411826724,-6.954145297,-6.629848096
82,0.057789897,0.015195719,108009.1159,62.31429198,30.96858982,2.48,0.04534968,-9699.789348,29.82002489,0.038310578,0.207698581,0.680335564,0.993972879,4.331429403,0.001050388,-1.031625968,0.398177762,3.004744496,-3.847807894,-3.178821084,-7.419076291,-6.965653999,-6.636045254
83,0.052314894,0.013896137,107896.5456,62.31105957,30.83345927,2.46,0.043949266,-9701.161278,28.79969148,0.035651791,0.195006658,0.632312399,0.979499605,4.331429188,0.001043546,-1.031626314,0.398170767,3.000490226,-3.848107533,-3.179056218,-7.432069476,-6.989879342,-6.639114391
84,0.045627401,0.012897701,107794.0215,62.25417138,30.64739939,2.44,0.043689086,-9703.02859,28.12666115,0.033161989,0.179973184,0.610734698,0.959257519,4.331232716,0.001042861,-1.031626379,0.398169044,3.000490073,-3.848133898,-3.179814208,-7.439786195,-7.000454068,-6.644186395
85,0.039635536,0.011865872,107622.0953,62.18529257,30.15966397,2.34,0.043154122,-9709.973142,26.3097799,0.030043847,0.171175033,0.566173899,0.951781124,4.330788144,0.001039996,-1.031626408,0.398164988,3.000489437,-3.848665612,-3.180510423,-7.447376133,-7.010261079,-6.649522986
86,0.034178559,0.011089486,107243.0665,62.18048343,30.01515833,2.28,0.042641218,-9711.409299,25.87152506,0.02818293,0.156923431,0.501134459,0.940439483,4.330788136,0.001038232,-1.031626419,0.398162582,3.000489435,-3.848730773,-3.181014739,-7.449338345,-7.080874687,-6.723793048
87,0.031088231,0.009747602,106919.1982,62.13186171,29.86838283,2.2,0.042232027,-9718.099229,25.35717127,0.026150243,0.143249929,0.483378277,0.928174699,4.330728537,0.001037761,-1.031626898,0.398154628,3.000484823,-3.849006189,-3.181543171,-7.458798575,-7.083830335,-6.729453419
88,0.02770467,0.009254467,106792.5065,62.1164314,29.75961093,2.12,0.042047643,-9721.819044,25.11900435,0.024543681,0.133802428,0.457642282,0.915948461,4.33035383,0.001035556,-1.031626982,0.398145856,3.000478647,-3.849138299,-3.181729644,-7.467085003,-7.112709969,-6.738978711
89,0.024580908,0.008805371,106529.4092,62.08067362,29.51852551,2.12,0.041990315,-9724.553809,24.75459184,0.023480753,0.129377535,0.434249002,0.886600061,4.33035382,0.001033735,-1.031627041,0.398145332,3.000478488,-3.849205494,-3.182454747,-7.467552127,-7.170300215,-6.745865024
90,0.021316402,0.008374284,106435.5802,62.00851879,29.24849687,2.08,0.04165144,-9727.707143,24.6075869,0.02168224,0.124097622,0.425727988,0.87148186,4.246337364,0.001032574,-1.031627244,0.398143368,3.000477191,-3.849387339,-3.182781611,-7.469341253,-7.20640744,-6.751396745
91,0.018210794,0.00802617,106290.1978,61.91076502,29.17189871,1.98,0.041241915,-9731.155619,24.21460639,0.021088524,0.117597495,0.415540034,0.861379949,4.238464769,0.001031433,-1.031627249,0.398143008,3.00047643,-3.849467873,-3.183122762,-7.477011632,-7.235592446,-6.756701121
92,0.016725131,0.007684046,106141.2839,61.77813306,29.1091601,1.98,0.041073175,-9732.650615,23.72550725,0.019440143,0.113720603,0.396640276,0.844500103,4.216490972,0.001028072,-1.031627354,0.398137716,3.000476183,-3.849602256,-3.183741087,-7.480075176,-7.238815071,-6.77179157
93,0.01322959,0.00730225,105933.1285,61.71029386,29.05022246,1.92,0.040781668,-9734.247004,23.55103681,0.01796214,0.109765939,0.389705877,0.834625866,4.216173396,0.001025302,-1.031627356,0.398135073,3.000471176,-3.849620608,-3.184294276,-7.486902192,-7.250074869,-6.786332974
94,0.010973178,0.007078949,105798.0646,61.63667758,28.99215734,1.92,0.040115413,-9735.619382,22.86741021,0.016878192,0.104142914,0.381026718,0.829919772,4.213959587,0.001024174,-1.031627358,0.398133819,3.000471149,-3.849661712,-3.18552719,-7.532152987,-7.255067884,-6.801626635
