WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,68101.1664,1.59E+13,152047.4189,87.77353745,253987800.2,67138.26,120.5338098,-2266.336788,446.7880007,20.68987736,609.7197415,571636650.1,1142521176,155.5725524,0.252492205,0.74984802,2.371547132,62.02338513,-3.30474286,-1.578478975,-0.533053882,-0.710996909,-0.853484027
1,60566.01591,6.90E+11,144925.1813,86.36839937,225705235.5,60086.08,104.2955098,-3533.567006,419.0742582,20.42533365,554.5358699,511420282.5,1006678916,38.61776756,0.066198354,-0.253234664,1.493510849,25.89389739,-3.532823989,-1.939646102,-0.952451266,-1.193595775,-1.206444011
2,48646.71984,1.29E+11,133478.8804,85.33096575,158766045.7,47515.72,79.15209832,-4811.418251,402.5927817,19.70964104,431.6274566,367376265.7,757195697.4,27.80029701,0.038583967,-0.616549855,1.088182338,18.52343723,-3.61006192,-2.16165381,-1.372977241,-1.65615153,-1.508283913
3,37441.42323,64755940250,129965.7668,83.87108666,95151616.42,37630.76,53.91570271,-5508.35024,373.4070738,18.87317888,309.5977703,206863671.8,476181508.3,14.130002,0.032413458,-0.743447791,0.894155511,15.89865207,-3.664068216,-2.289781998,-1.764650918,-2.078344131,-1.801584221
4,28120.24758,3299463475,128965.9972,82.44235179,64157401.42,28395.38,35.81678099,-6151.717819,355.727555,17.92342891,229.1138962,140390060.2,301566310.2,11.27053591,0.028023027,-0.805807637,0.700705939,13.82467923,-3.693190293,-2.388606942,-2.368581288,-2.309808965,-2.177701312
5,21944.74048,49398261.52,127862.666,81.17306727,44506420.05,21816.72,26.30492073,-6684.134224,336.8142648,16.73550365,181.480285,100706369.4,196987655.1,10.91179481,0.023913537,-0.859059417,0.613681274,12.56834674,-3.709085281,-2.503897649,-2.715743576,-2.769645057,-2.618795896
6,17436.01622,29737.26707,127476.3579,80.39942311,33257030.72,17294.56,17.15242461,-7327.745252,326.3453675,15.55896785,145.4001654,69373389.4,137624712.5,9.523883022,0.021327504,-0.887226494,0.506428992,11.88865486,-3.719641877,-2.606306712,-3.142408519,-3.095476853,-2.889947835
7,14096.35589,4132.929152,127003.3992,79.23306624,23902079.84,13165.64,12.92963279,-7585.765415,313.5895847,14.55848409,119.1515555,39170389.41,96663309.07,9.066563974,0.019291894,-0.904734579,0.484362492,10.92508375,-3.734602509,-2.681403537,-3.569397348,-3.519145058,-3.092064175
8,10996.1805,43.66411992,126750.0715,78.40700759,17768177.87,9702.88,9.282319616,-7862.887286,300.8289023,13.65920414,95.65159209,24437509.23,63703648.14,8.15752965,0.015705033,-0.919976154,0.475421591,9.84425152,-3.739361102,-2.719895569,-3.838176761,-3.766704117,-3.335487962
9,8224.051847,31.35131247,126503.3585,77.86194916,13634952.2,7754.74,6.144575572,-7985.395445,293.2915724,12.58680043,74.54831052,16121949.91,44132062.19,7.793473266,0.012737968,-0.934516826,0.460667316,9.480369973,-3.742646813,-2.755864125,-4.000391668,-3.968705309,-3.49279497
10,6326.571945,26.83208679,126360.1358,77.45374755,10410569.36,6052.48,4.22811581,-8112.44499,281.6449462,11.78000802,60.08540478,9726027.274,33201555.99,7.67540557,0.011666579,-0.961513331,0.45058068,8.702150349,-3.749611452,-2.802089116,-4.139950049,-4.084931998,-3.650213624
11,4901.017235,21.99373829,126139.6843,77.02222861,8524219.292,4799.9,3.305559991,-8242.141922,273.1018138,11.06913807,45.97817022,6885589.963,23624789.09,7.41325968,0.010202124,-0.985865666,0.447541048,7.825656397,-3.751953014,-2.831542354,-4.346530136,-4.243065528,-3.782663991
12,3844.374281,19.54311928,125746.8747,76.26822714,6653730.629,3780.8,2.520718985,-8308.546308,263.2585492,10.23140116,36.92342008,4531949.538,16227166.69,7.23270404,0.008874784,-0.986759304,0.439655319,7.25769957,-3.754126453,-2.8637953,-4.494314698,-4.40999062,-3.961536566
13,3066.156827,17.00477229,125421.7823,75.53910899,4455433.52,2983.7,1.783401121,-8334.963025,252.4286331,9.636008402,29.37624481,3045615.112,8440396.717,6.901674893,0.008184934,-0.990214853,0.435458087,6.603283252,-3.755903738,-2.877802575,-4.657921222,-4.501957591,-4.127942688
14,2418.140053,13.93617119,125308.0878,75.04399123,3311287.046,2374.12,1.257031241,-8500.497228,237.1821941,9.085236778,23.21737197,2215022.502,5336611.956,6.596650566,0.006872011,-0.994505194,0.431100599,6.57837777,-3.760367806,-2.89542692,-4.737405928,-4.58524869,-4.237981616
15,1944.495791,11.81122757,124914.3868,74.64703323,2278210.201,1902.16,1.036886434,-8552.903348,228.1865189,8.331986117,19.86190995,1664643.931,3111009.039,6.561090062,0.006315409,-0.995734181,0.429090959,6.55902065,-3.763919094,-2.919062621,-4.83046498,-4.715220962,-4.446889663
16,1592.44796,10.27366303,124501.5818,74.35134264,1495452.511,1493.62,0.851429938,-8633.847407,219.1115737,7.592943161,15.43773595,1491112.709,1795034.375,6.363186863,0.00576262,-0.996632894,0.426306192,6.470634557,-3.767904299,-2.944308534,-4.993297638,-4.834561842,-4.551226902
17,1307.008608,9.102404073,123989.3447,74.23306346,864310.4984,1187.84,0.752076816,-8678.831093,211.0044158,7.093615576,12.5091584,1293078.322,1042125.65,6.341190158,0.00541145,-0.997094969,0.424232292,6.434208225,-3.771351427,-2.964199948,-5.163500886,-4.917705576,-4.647438578
18,1027.260558,8.374805008,123676.1264,74.13333828,584930.4971,944.84,0.646182066,-8719.47922,202.8507183,6.675134866,10.19421284,670808.289,513134.4767,6.321900203,0.005147649,-0.997766352,0.422284413,6.390529118,-3.772773074,-2.976047508,-5.291590478,-4.97277559,-4.752135722
19,826.400083,6.921942288,122821.893,73.8705856,413186.8923,767.86,0.596517737,-8862.856929,191.0048834,6.096445433,8.623482282,206470.4188,374608.1458,6.199645512,0.004945288,-1.004723493,0.419412409,5.790589739,-3.776511943,-2.983966392,-5.499113396,-5.01690801,-4.880065991
20,661.6825216,5.974353563,122094.6596,73.54822688,281544.9307,594.4,0.528073748,-8881.266792,184.3155539,5.614618329,6.920575621,166004.1537,283504.886,6.185122207,0.004591206,-1.009830282,0.414717449,5.579712679,-3.778690214,-2.993677254,-5.60519986,-5.103525583,-4.917245783
21,509.9428375,5.128950652,121537.0166,72.71525752,213042.9801,482.34,0.478430136,-8975.215799,179.2274466,5.123546804,5.412871315,143627.7013,159005.4751,6.158566343,0.004162732,-1.009892246,0.411506408,5.490214412,-3.780493693,-3.003808144,-5.757236864,-5.196407699,-5.122545559
22,401.7047305,4.572294974,121352.8625,72.4619567,165405.723,391.36,0.441111993,-9014.41514,173.2127153,4.764352859,4.360931225,86993.20348,142262.8597,6.121829941,0.003893894,-1.010067319,0.410101836,5.372502392,-3.7811261,-3.018370287,-5.84034956,-5.237270955,-5.174267464
23,332.2435999,4.118384395,121116.6316,72.01467951,125451.835,306.9,0.405888689,-9037.275937,168.4855172,4.439411154,3.763720964,65293.80793,89654.60622,6.010862936,0.003759417,-1.011191913,0.407522418,5.250612381,-3.781293298,-3.025094021,-5.937855789,-5.321846465,-5.270394543
24,282.0698449,3.377822688,120867.0094,71.92402829,97299.253,253.38,0.370707775,-9047.514639,161.9906618,4.199281038,3.193549492,20679.31456,61059.59087,5.917358804,0.003364683,-1.012717708,0.406076712,5.155002641,-3.782090811,-3.033824108,-6.018357148,-5.394874936,-5.357089369
